finding	location	file_path	record_id	name	value	unit	detail
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/eg.yaml	CultureMech:000070	Add the above constituents and make up to 1 litre with deionised water. For agar, add	15	G_PER_L	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/eg_jm.yaml	CultureMech:000071	Add the above constituents and make up to 1 litre with deionised water. For agar, add	15	G_PER_L	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/eg_jm.yaml	CultureMech:000071	Make up to 1 litre with deionised water. For agar, add	15.0	G_PER_L	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/f_2.yaml	CultureMech:000149	Make up to 1 litre with filtered natural seawater. Adjust pH to 8.0 with	1	MOLAR	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/f_2_si.yaml	CultureMech:000148	Make up to 1 litre with filtered natural seawater. Adjust pH to 8.0 with	1	MOLAR	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/f_2_si_for_heterotrophic_growth.yaml	CultureMech:000147	Make up to 1 litre with filtered natural seawater. Adjust pH to 8.0 with	1	MOLAR	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/fdmed.yaml	CultureMech:000072	Make up to 1 litre with deionised water. Adjust pH to 7.5 with	1	MOLAR	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/jm.yaml	CultureMech:000074	Make up to 1 litre with deionised water. For agar, add	15.0	G_PER_L	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/k35.yaml	CultureMech:000078	Make up to 1 litre with deionised water. Adjust pH to 8.1 - 8.4 with	1	MOLAR	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/k_medium.yaml	CultureMech:000076	Make up to 1 litre with filtered natural seawater. Adjust pH to 8.0 with	1	MOLAR	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/k_minimum.yaml	CultureMech:000077	Make up to 1 litre with filtered natural seawater. Adjust pH to 8.0 with	1	MOLAR	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
PROSE_AS_INGREDIENT	ingredients	data/normalized_yaml/algae/l1.yaml	CultureMech:000079	Make up to 1 litre with filtered natural seawater. Adjust pH to 8.0 with	1	MOLAR	preparation instruction parsed as an ingredient; its concentration belongs to the reagent that followed it
