file	preferred_term	from_chebi	to_chebi
data/normalized_yaml/bacterial/mediadive_4813_Main_sol_J847.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_4813_Main_sol_J847.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_4813_Main_sol_J847.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4813_Main_sol_J847.yaml	Na2S x 9 H2O	CHEBI:32588	CHEBI:76209
data/normalized_yaml/bacterial/mediadive_4814_Main_sol_J848.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4815_Solution_I.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4816_Solution_II.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_4816_Solution_II.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_4816_Solution_II.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4817_100_x_Vitamin_mixture.yaml	Biotin	CHEBI:15956	CHEBI:15956
data/normalized_yaml/bacterial/mediadive_4817_100_x_Vitamin_mixture.yaml	Vitamine B12	CHEBI:86254	CHEBI:176843
data/normalized_yaml/bacterial/mediadive_4817_100_x_Vitamin_mixture.yaml	Riboflavin	CHEBI:17015	CHEBI:17015
data/normalized_yaml/bacterial/mediadive_4817_100_x_Vitamin_mixture.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_4818_Main_sol_J849.yaml	KH2PO4	CHEBI:31206	CHEBI:63036
data/normalized_yaml/bacterial/mediadive_4818_Main_sol_J849.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_4818_Main_sol_J849.yaml	Distilled water	CHEBI:6636	CHEBI:15377
data/normalized_yaml/bacterial/mediadive_481_Main_sol_221.yaml	FeSO4 x 7 H2O	CHEBI:32312	CHEBI:75836
data/normalized_yaml/bacterial/mediadive_481_Main_sol_221.yaml	MnSO4 x H2O	CHEBI:31604	CHEBI:86364
data/normalized_yaml/bacterial/mediadive_481_Main_sol_221.yaml	CaCl2 x 2 H2O	CHEBI:176843	CHEBI:86158
data/normalized_yaml/bacterial/mediadive_481_Main_sol_221.yaml	Biotin	CHEBI:15956	CHEBI:15956
data/normalized_yaml/bacterial/mediadive_481_Main_sol_221.yaml	Agar	CHEBI:2509	CHEBI:2509
data/normalized_yaml/bacterial/mediadive_481_Main_sol_221.yaml	Distilled water	CHEBI:6636	CHEBI:15377
