filename	categories	classification	evidence	ids	ingredient_counts
sea_salts_yeast_extract_glucose_medium.yaml	bacterial,fungal	DIFFERENT	6/14 ingredient rows shared; sizes [9, 11]	CultureMech:007654,CultureMech:010485	12,9
sea_salts_yeast_extract_peptone_medium.yaml	bacterial,fungal	DIFFERENT	4/6 ingredient rows shared; sizes [5, 5]	CultureMech:007750,CultureMech:010492	6,5
sea_water_yeast_peptone_medium.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:006887,CultureMech:010483	12,12
seawater_yeast_peptone_agar.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:004615,CultureMech:010465	10,10
ses.yaml	bacterial,algae	DIFFERENT	0/5 ingredient rows shared; sizes [1, 4]	CultureMech:000407,CultureMech:000130	4,1
ses_mp.yaml	bacterial,algae	DIFFERENT	0/10 ingredient rows shared; sizes [1, 9]	CultureMech:000408,CultureMech:000132	9,1
ses_pj.yaml	bacterial,algae	DIFFERENT	0/8 ingredient rows shared; sizes [2, 6]	CultureMech:000409,CultureMech:000131	6,2
sna.yaml	bacterial,algae	DIFFERENT	5/6 ingredient rows shared; sizes [5, 6]	CultureMech:000410,CultureMech:000133	6,5
sna_5.yaml	bacterial,algae	DIFFERENT	5/6 ingredient rows shared; sizes [5, 6]	CultureMech:000412,CultureMech:000134	6,5
sp.yaml	bacterial,algae	DIFFERENT	7/41 ingredient rows shared; sizes [24, 24]	CultureMech:000413,CultureMech:000135	24,24
standard_i_malt_agar.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:006156,CultureMech:010472	4,4
sucrose_nitrate_agar_czapek_dox_agar.yaml	bacterial,fungal	DIFFERENT	6/8 ingredient rows shared; sizes [7, 7]	CultureMech:009827,CultureMech:010529	8,7
sulfolobus_medium_anaerobic.yaml	archaea,specialized	DIFFERENT	6/27 ingredient rows shared; sizes [15, 18]	CultureMech:008970,CultureMech:015370	19,15
swmty_marine_medium.yaml	bacterial,specialized	DIFFERENT	4/26 ingredient rows shared; sizes [15, 15]	CultureMech:008800,CultureMech:015398	16,15
thermanaerobacter_thermophila_medium.yaml	bacterial,archaea	DIFFERENT	0/25 ingredient rows shared; sizes [12, 13]	CultureMech:007521,CultureMech:000305	13,13
trypticase_soy_yeast_extract_medium.yaml	bacterial,fungal	DIFFERENT	2/9 ingredient rows shared; sizes [3, 8]	CultureMech:006848,CultureMech:010482	8,3
tryptone_peptone_yeast_extract_glucose_medium.yaml	bacterial,fungal	DIFFERENT	9/14 ingredient rows shared; sizes [11, 12]	CultureMech:010054,CultureMech:010543	13,11
tryptone_yeast_extract_agar.yaml	bacterial,fungal	DIFFERENT	2/6 ingredient rows shared; sizes [4, 4]	CultureMech:007856,CultureMech:010506	5,4
tryptone_yeast_extract_agar_tyg.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:006280,CultureMech:010474	4,4
tryptone_yeast_extract_isp_1_agar.yaml	bacterial,fungal	DIFFERENT	1/5 ingredient rows shared; sizes [3, 3]	CultureMech:010272,CultureMech:010551	4,3
tryptone_yeast_extract_mineral_medium.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:004583,CultureMech:010464	11,11
um.yaml	bacterial,algae	DIFFERENT	1/12 ingredient rows shared; sizes [6, 7]	CultureMech:000311,CultureMech:000141	7,6
universal_medium_for_yeasts_ym.yaml	bacterial,fungal	IDENTICAL	verbatim same ingredients, groundings, concentrations and units	CultureMech:004210,CultureMech:010463	5,5
van_niels_yeast_agar.yaml	bacterial,fungal	EQUIVALENT	same after normalizing ingredient labels and ignoring water	CultureMech:007688,CultureMech:010488	5,4
walnes.yaml	bacterial,algae	DIFFERENT	0/25 ingredient rows shared; sizes [11, 14]	CultureMech:000312,CultureMech:000142	14,11
waris_h.yaml	bacterial,algae	DIFFERENT	0/36 ingredient rows shared; sizes [18, 18]	CultureMech:000313,CultureMech:000143	18,18
yeast_extract_malt_extract_agar_isp_2.yaml	bacterial,fungal	DIFFERENT	2/6 ingredient rows shared; sizes [4, 4]	CultureMech:009740,CultureMech:010528	5,4
yeast_extract_malt_extract_agar_isp_2_ph_8_5.yaml	bacterial,fungal	DIFFERENT	0/4 ingredient rows shared; sizes [0, 4]	CultureMech:010358,CultureMech:010553	0,4
yeast_extract_malt_extract_agar_isp_2_with_2_nacl.yaml	bacterial,fungal	DIFFERENT	1/2 ingredient rows shared; sizes [1, 2]	CultureMech:007763,CultureMech:010493	1,2
