file_path	record_id	verdict	detail	ungrounded_siblings
bacterial/planctomycetales_bacterium_medium.yaml	CultureMech:000822	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Cysteine HCl
bacterial/planctomycetes_medium_nh11.yaml	CultureMech:000995	PROMOTED	0.33557 g/L Peptone; 27 others all CHEBI-grounded	
bacterial/plantomycetaceae_medium.yaml	CultureMech:000940	PROMOTED	0.05 g/L Yeast extract; 27 others all CHEBI-grounded	
bacterial/ppg_medium.yaml	CultureMech:008679	CURATOR: ground the sibling, or add it to the undefined list	2 other ingredient(s) not CHEBI-grounded	Polypropylene glycol 2000 (PPG 2000); Agar (if needed)
bacterial/ppll_medium.yaml	CultureMech:002470	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Sodium phosphate buffer
bacterial/pseudothermotoga_medium.yaml	CultureMech:001625	PROMOTED	0.488281 g/L Yeast extract; 26 others all CHEBI-grounded	
bacterial/pyruvate_as_an_alternative_substrate_for_dsm_6008_dsm_14886_and_dsm_16521.yaml	CultureMech:005700	CURATOR: ground the sibling, or add it to the undefined list	1 other ingredient(s) not CHEBI-grounded	Na2-9,10-anthraquinone-2,6-disulfonate
bacterial/raeh_medium.yaml	CultureMech:002480	PROMOTED	0.496032 g/L Yeast extract; 12 others all CHEBI-grounded	
bacterial/rhodobacter_adriaticus_medium.yaml	CultureMech:001451	PROMOTED	0.1 g/L Yeast extract; 25 others all CHEBI-grounded	
bacterial/rhodobacter_dangmalensis_medium.yaml	CultureMech:002994	PROMOTED	0.397614 g/L Yeast extract; 15 others all CHEBI-grounded	
bacterial/rhodobacter_sphaeroides_medium.yaml	CultureMech:002928	PROMOTED	0.399202 g/L Yeast extract; 16 others all CHEBI-grounded	
bacterial/rhodobacter_thiocapsa_medium.yaml	CultureMech:000640	PROMOTED	0.4 g/L Yeast extract; 15 others all CHEBI-grounded	
bacterial/rhodobium_gokurnum_medium.yaml	CultureMech:002867	PROMOTED	0.397614 g/L Yeast extract; 16 others all CHEBI-grounded	
bacterial/rhodoblastus_medium.yaml	CultureMech:000580	PROMOTED	0.1 g/L Yeast extract; 13 others all CHEBI-grounded	
