filename,medium_name,extracted_organism,ncbi_taxon_id,ncbi_taxon_label,strain,culture_type,confidence,extraction_pattern,approve
bacterial/DSMZ_1066_MARINOBACTER_LUTAOENSIS_MEDIUM.yaml,DSMZ 1066 MARINOBACTER LUTAOENSIS MEDIUM,MARINOBACTER LUTAOENSIS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1072_PSEUDOALTEROMONAS_SPIRALIS_MEDIUM.yaml,DSMZ 1072 PSEUDOALTEROMONAS SPIRALIS MEDIUM,PSEUDOALTEROMONAS SPIRALIS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_108_ACIDIPHILIUM_ACIDOPHILUM_MEDIUM.yaml,DSMZ 108 ACIDIPHILIUM ACIDOPHILUM MEDIUM,ACIDIPHILIUM ACIDOPHILUM,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1090_PYROBACULUM_CALIDIFONTIS_MEDIUM.yaml,DSMZ 1090 PYROBACULUM CALIDIFONTIS MEDIUM,PYROBACULUM CALIDIFONTIS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1091_HALOQUADRATUM_WALSBYI_MEDIUM.yaml,DSMZ 1091 HALOQUADRATUM WALSBYI MEDIUM,HALOQUADRATUM WALSBYI,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1097_SULFUROSPIRILLUM_MV_MEDIUM.yaml,DSMZ 1097 SULFUROSPIRILLUM MV MEDIUM,SULFUROSPIRILLUM MV,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1098_ARCHAEOGLOBUS_INFECTUS_MEDIUM.yaml,DSMZ 1098 ARCHAEOGLOBUS INFECTUS MEDIUM,ARCHAEOGLOBUS INFECTUS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_109_RHODOPSEUDOMONAS_SULFOVIRIDIS_MEDIUM.yaml,DSMZ 109 RHODOPSEUDOMONAS SULFOVIRIDIS MEDIUM,RHODOPSEUDOMONAS SULFOVIRIDIS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1101a_DESULFONATRONUM_ZHILINAE_MEDIUM.yaml,DSMZ 1101a DESULFONATRONUM ZHILINAE MEDIUM,DESULFONATRONUM ZHILINAE,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1102_MEDIUM_FOR_ENHYDROMYXA_SALSUGINOSA.yaml,DSMZ 1102 MEDIUM FOR ENHYDROMYXA SALSUGINOSA,ENHYDROMYXA SALSUGINOSA,,,,isolate,high,medium_for_genus_species,TRUE
bacterial/DSMZ_1105_NITRILIRUPTOR_ALKALIPHILUS_MEDIUM.yaml,DSMZ 1105 NITRILIRUPTOR ALKALIPHILUS MEDIUM,NITRILIRUPTOR ALKALIPHILUS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1110_NAUTILIA_PROFUNDICOLA_MEDIUM.yaml,DSMZ 1110 NAUTILIA PROFUNDICOLA MEDIUM,NAUTILIA PROFUNDICOLA,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1111_CARBOXYMETHYL_CELLULOSE_MEDIUM.yaml,DSMZ 1111 CARBOXYMETHYL CELLULOSE MEDIUM,CARBOXYMETHYL CELLULOSE,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1122a_METHYLOVERSATILIS_THERMOTOLERANS_MEDIUM.yaml,DSMZ 1122a METHYLOVERSATILIS THERMOTOLERANS MEDIUM,METHYLOVERSATILIS THERMOTOLERANS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1128_RHODOVULUM_VISAKHUM_MEDIUM.yaml,DSMZ 1128 RHODOVULUM VISAKHUM MEDIUM,RHODOVULUM VISAKHUM,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1131_HYDROGENIVIRGA_OKINAWENSIS_MEDIUM.yaml,DSMZ 1131 HYDROGENIVIRGA OKINAWENSIS MEDIUM,HYDROGENIVIRGA OKINAWENSIS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1136_RHODOVULUM_KHOLENSE_MEDIUM.yaml,DSMZ 1136 RHODOVULUM KHOLENSE MEDIUM,RHODOVULUM KHOLENSE,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_113_THIOBACILLUS_DENITRIFICANS_MEDIUM.yaml,DSMZ 113 THIOBACILLUS DENITRIFICANS MEDIUM,THIOBACILLUS DENITRIFICANS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_113a_SULFURIMONAS_HONGKONGENSIS_MEDIUM.yaml,DSMZ 113a SULFURIMONAS HONGKONGENSIS MEDIUM,SULFURIMONAS HONGKONGENSIS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1146_VENENIVIBRIO_STAGNISPUMANTIS_MEDIUM.yaml,DSMZ 1146 VENENIVIBRIO STAGNISPUMANTIS MEDIUM,VENENIVIBRIO STAGNISPUMANTIS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_114_PARACOCCUS_HALODENITRIFICANS_MEDIUM.yaml,DSMZ 114 PARACOCCUS HALODENITRIFICANS MEDIUM,PARACOCCUS HALODENITRIFICANS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1150_HALOALKALIPHILIC_GROWTH_MEDIUM.yaml,DSMZ 1150 HALOALKALIPHILIC GROWTH MEDIUM,HALOALKALIPHILIC GROWTH,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1154_GLUCOSE_SULFIDE_MEDIUM_Richard_et_al._1985.yaml,DSMZ 1154 GLUCOSE SULFIDE MEDIUM Richard et al. 1985,GLUCOSE SULFIDE,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1158_HALOMONAS_SYMIRNIENSIS_MEDIUM.yaml,DSMZ 1158 HALOMONAS SYMIRNIENSIS MEDIUM,HALOMONAS SYMIRNIENSIS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_115_VIBRIO_NATRIEGENS_MEDIUM.yaml,DSMZ 115 VIBRIO NATRIEGENS MEDIUM,VIBRIO NATRIEGENS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_115a_REACTIVATION_WITH_LIQUID_MEDIUM_115.yaml,DSMZ 115a REACTIVATION WITH LIQUID MEDIUM 115,REACTIVATION WITH,,,,isolate,high,genus_species_strain_medium,TRUE
bacterial/DSMZ_1161_DUBOS_SALTS_MEDIUM.yaml,DSMZ 1161 DUBOS SALTS MEDIUM,DUBOS SALTS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1162_THIOPHAEOCOCCUS_MANGROVI_MEDIUM.yaml,DSMZ 1162 THIOPHAEOCOCCUS MANGROVI MEDIUM,THIOPHAEOCOCCUS MANGROVI,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1163_KOSMOTOGA_OLEARIA_MEDIUM.yaml,DSMZ 1163 KOSMOTOGA OLEARIA MEDIUM,KOSMOTOGA OLEARIA,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1164_HALOMICROBIUM_KATESII_MEDIUM.yaml,DSMZ 1164 HALOMICROBIUM KATESII MEDIUM,HALOMICROBIUM KATESII,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1165_SPIROCHAETA_AMERICANA_MEDIUM.yaml,DSMZ 1165 SPIROCHAETA AMERICANA MEDIUM,SPIROCHAETA AMERICANA,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1166_DESULFONATRONUM_THIOAUTOTROPHICUM_MEDIUM.yaml,DSMZ 1166 DESULFONATRONUM THIOAUTOTROPHICUM MEDIUM,DESULFONATRONUM THIOAUTOTROPHICUM,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1167_NSY-MEDIUM_FOR_POLYNUCLEOBACTER.yaml,DSMZ 1167 NSY-MEDIUM FOR POLYNUCLEOBACTER,POLYNUCLEOBACTER,,,,isolate,high,medium_for_genus_species,TRUE
bacterial/DSMZ_1179_NMS_MEDIUM_FOR_METHYLOCYSTIS_SP..yaml,DSMZ 1179 NMS MEDIUM FOR METHYLOCYSTIS SP.,METHYLOCYSTIS SP,,,,isolate,high,medium_for_genus_species,TRUE
bacterial/DSMZ_1181_METHYLOCELLA_SILVERSTRIS_MEDIUM.yaml,DSMZ 1181 METHYLOCELLA SILVERSTRIS MEDIUM,METHYLOCELLA SILVERSTRIS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1188_SPIROCHAETA_CELLOBIOSIPHILA_MEDIUM.yaml,DSMZ 1188 SPIROCHAETA CELLOBIOSIPHILA MEDIUM,SPIROCHAETA CELLOBIOSIPHILA,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1193_CULTIVATION_MEDIUM_FOR_CHLAMYDIAE.yaml,DSMZ 1193 CULTIVATION MEDIUM FOR CHLAMYDIAE,CHLAMYDIAE,,,,isolate,high,medium_for_genus_species,TRUE
bacterial/DSMZ_1194_HALORUBRUM_CALIFORNIENSE_MEDIUM.yaml,DSMZ 1194 HALORUBRUM CALIFORNIENSE MEDIUM,HALORUBRUM CALIFORNIENSE,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1195_KUSHNERIA_AURANTIA_MEDIUM.yaml,DSMZ 1195 KUSHNERIA AURANTIA MEDIUM,KUSHNERIA AURANTIA,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1196_ZAVARZINELLA_FORMOSA_MEDIUM.yaml,DSMZ 1196 ZAVARZINELLA FORMOSA MEDIUM,ZAVARZINELLA FORMOSA,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1201_ALICYCLOBACILLUS_FERROOXYDANS_MEDIUM.yaml,DSMZ 1201 ALICYCLOBACILLUS FERROOXYDANS MEDIUM,ALICYCLOBACILLUS FERROOXYDANS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1202_SOLIDESULFOVIBRIO_MARRAKECHENSIS_MEDIUM.yaml,DSMZ 1202 SOLIDESULFOVIBRIO MARRAKECHENSIS MEDIUM,SOLIDESULFOVIBRIO MARRAKECHENSIS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1208_BACILLUS_ALKALIDIAZOTROPHICUS_MEDIUM.yaml,DSMZ 1208 BACILLUS ALKALIDIAZOTROPHICUS MEDIUM,BACILLUS ALKALIDIAZOTROPHICUS,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1209_ALICYCOBACILLUS_POHLIAE_MEDIUM.yaml,DSMZ 1209 ALICYCOBACILLUS POHLIAE MEDIUM,ALICYCOBACILLUS POHLIAE,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_120a_METHANOSARCINA_BARKERI_MEDIUM.yaml,DSMZ 120a METHANOSARCINA BARKERI MEDIUM,METHANOSARCINA BARKERI,,,,isolate,high,genus_species_medium,TRUE
bacterial/DSMZ_1210b_PYRODICTIUM_DELANEYI_MEDIUM.yaml,DSMZ 1210b PYRODICTIUM DELANEYI MEDIUM,PYRODICTIUM DELANEYI,,,,isolate,high,genus_species_medium,TRUE
