culturemech_id	file_path
CultureMech:000233	data/normalized_yaml/algae/TAP_Medium.yaml
CultureMech:000234	data/normalized_yaml/algae/Trebouxia_Medium.yaml
CultureMech:000235	data/normalized_yaml/algae/Volvocacean-3N_Medium.yaml
CultureMech:000236	data/normalized_yaml/algae/Volvocacean_Medium.yaml
CultureMech:000237	data/normalized_yaml/algae/Volvox-Dextrose_Medium.yaml
CultureMech:000238	data/normalized_yaml/algae/Volvox_Medium.yaml
CultureMech:000239	data/normalized_yaml/algae/WC+_Medium.yaml
CultureMech:000240	data/normalized_yaml/algae/WC_Medium.yaml
CultureMech:000241	data/normalized_yaml/algae/Waris_+_Soil_Extract_Medium.yaml
CultureMech:000242	data/normalized_yaml/algae/Waris_Medium.yaml
CultureMech:000243	data/normalized_yaml/archaea/DSMZ_1014_THIOALKALIVIBRIO_HALOPHILUS_MEDIUM.yaml
CultureMech:000244	data/normalized_yaml/archaea/DSMZ_1058_THIOHALOPHILUS_MEDIUM.yaml
CultureMech:000245	data/normalized_yaml/archaea/DSMZ_1058a_THIOHALOSPIRA_HALOPHILA_MEDIUM.yaml
CultureMech:000246	data/normalized_yaml/archaea/DSMZ_1084_METHERMICOCCUS_METHANOGEN_MEDIUM.yaml
CultureMech:000247	data/normalized_yaml/archaea/DSMZ_1125_HALOPHILIC_MEDIUM.yaml
CultureMech:000248	data/normalized_yaml/archaea/DSMZ_1156_HALOPHILIC_METHANOTROPHIC_BACTERIUM_MEDIUM.yaml
CultureMech:000249	data/normalized_yaml/archaea/DSMZ_1184_MEDIUM_FOR_HALOPHILIC_ARCHAEA.yaml
CultureMech:000250	data/normalized_yaml/archaea/DSMZ_1225_THIOALKALIBACTER_HALOPHILUS_MEDIUM.yaml
CultureMech:000251	data/normalized_yaml/archaea/DSMZ_1293_SYMBIOBACTERIUM_THERMOPHILUM_MEDIUM.yaml
CultureMech:000252	data/normalized_yaml/archaea/DSMZ_1399_HALOPHILIC_MEDIUM.yaml
CultureMech:000253	data/normalized_yaml/archaea/DSMZ_1400_SALINIBACTER_HALOPHILIC_MEDIUM.yaml
CultureMech:000254	data/normalized_yaml/archaea/DSMZ_141_METHANOGENIUM_MEDIUM_H2_CO2.yaml
CultureMech:000255	data/normalized_yaml/archaea/DSMZ_1431_ALKALOPHILIC_HALOPHILE_MEDIUM.yaml
CultureMech:000256	data/normalized_yaml/archaea/DSMZ_1433_ACIDO-THERMOPHILE_MEDIUM.yaml
CultureMech:000257	data/normalized_yaml/archaea/DSMZ_1742_HALOACTINOMYCES_HALOPHILUS_MEDIUM.yaml
CultureMech:000258	data/normalized_yaml/archaea/DSMZ_227_PEDIOCOCCUS_HALOPHILUS_MEDIUM.yaml
CultureMech:000259	data/normalized_yaml/archaea/DSMZ_317_METHANOSARCINA_THERMOPHILA_MEDIUM.yaml
CultureMech:000260	data/normalized_yaml/archaea/DSMZ_318_METHANOSARCINA_THERMOPHILA_BCYT_MEDIUM.yaml
CultureMech:000261	data/normalized_yaml/archaea/DSMZ_329_METHANOHALOPHILUS_HALOPHILUS_MEDIUM.yaml
CultureMech:000262	data/normalized_yaml/archaea/DSMZ_348_METHANOHALOPHILUS_PORTUCALENSIS_MEDIUM.yaml
CultureMech:000263	data/normalized_yaml/archaea/DSMZ_373_METHANOGENIUM_CV_MEDIUM.yaml
CultureMech:000264	data/normalized_yaml/archaea/DSMZ_458_MEDIUM_FOR_BACILLUS_STEAROTHERMOPHILUS.yaml
