culturemech_id	lineage_signature	file_path	display_name	lifecycle_status	successor_ids	lifecycle_note	catalog_schema_version
CultureMech:005312	sha256:17e9450ef0f9112b21652d2c7d9f5f49c0b120f816021b0a6dac5dfb4faca214	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11215.yaml	medium_457_modified_for_dsm_11215	ACTIVE			1
CultureMech:005313	sha256:da5adefc67fe0a079bc686d965246435141d2a7ef0d54374a3c44f58b0ea2de9	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11216.yaml	medium_457_modified_for_dsm_11216	ACTIVE			1
CultureMech:005314	sha256:a39cce91789abcd38a0737338bc856e9d136a71f31b8b1f2d7a6716952cee984	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11217.yaml	medium_457_modified_for_dsm_11217	ACTIVE			1
CultureMech:005315	sha256:477f8f3efef00d5c01b0157c5e58aeb41c682d2dffa1e0194bb7de4fbb6b3274	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11218.yaml	medium_457_modified_for_dsm_11218	ACTIVE			1
CultureMech:005316	sha256:b6f5c2e0108a386bbaf18902373c720cf6dd327074435ba46db12c882718a936	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11219.yaml	medium_457_modified_for_dsm_11219	ACTIVE			1
CultureMech:005317	sha256:8cf51e6d72993ebeabacd9a2960e0bb435b2d2177407529717ee6bd22111cc2e	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11220.yaml	medium_457_modified_for_dsm_11220	ACTIVE			1
CultureMech:005318	sha256:4b99283948c2394c2d8531f77a902b2fef995b9eb46bae45ffb1e6ff96a48f39	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11345.yaml	medium_457_modified_for_dsm_11345	ACTIVE			1
CultureMech:005319	sha256:12f5f8fec0a1c69341f8131a7d5db37ba769f31b17db1f12a918f8bc3ad1550d	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11346.yaml	medium_457_modified_for_dsm_11346	ACTIVE			1
CultureMech:005320	sha256:70c5fed79d8f8f233aafe6ab84bac5e9ce14c73d7633b0ce78158d42c94bdd58	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11531.yaml	medium_457_modified_for_dsm_11531	ACTIVE			1
CultureMech:005321	sha256:ce94e05dc8c9001ac6a96de1346622832035731b2105b286d101e60689092dd4	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11532.yaml	medium_457_modified_for_dsm_11532	ACTIVE			1
CultureMech:005322	sha256:82566c3543d9f826ddeaa65654d25dda6e0f43c7c3f94213f45cff50f260f67b	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11533.yaml	medium_457_modified_for_dsm_11533	ACTIVE			1
CultureMech:005323	sha256:c88e75044e7c9ef65ce12fb80191d3cb957f0f2d26b74579c41e0ce1330e68cf	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11535.yaml	medium_457_modified_for_dsm_11535	ACTIVE			1
CultureMech:005324	sha256:0d9da3bae6c607b41dc426865f05f792dd3ce148fdc4e6e5604e64835ae99dad	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11562.yaml	medium_457_modified_for_dsm_11562	ACTIVE			1
CultureMech:005325	sha256:2fad38f516cfded1a3892370d84656c4b332e6c9006e36b9bde45f5e238d3b5e	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11563.yaml	medium_457_modified_for_dsm_11563	ACTIVE			1
CultureMech:005326	sha256:dd0188ad2fc614377085f142b9c390725a93a12c672361b03ad39f89a3db2af1	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11564.yaml	medium_457_modified_for_dsm_11564	ACTIVE			1
CultureMech:005327	sha256:d7940b61201c8d18c96e1e80cfd38c094b352625b96c2b54420ca986127d16d1	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11565.yaml	medium_457_modified_for_dsm_11565	ACTIVE			1
CultureMech:005328	sha256:e55e8e2c707e2ac85268505ea3fd45832810ca22bcd5e743b8ba41fb0e9e88de	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11566.yaml	medium_457_modified_for_dsm_11566	ACTIVE			1
CultureMech:005329	sha256:fc7742a61cac37a83d0fd90c705ff929a77b1c36c83e2351cee88e3bdae606ac	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11567.yaml	medium_457_modified_for_dsm_11567	ACTIVE			1
CultureMech:005330	sha256:c49170c3379839fe47ae985facaa30228bd729e5ffd125568387434d0211f0bd	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11568.yaml	medium_457_modified_for_dsm_11568	ACTIVE			1
CultureMech:005331	sha256:c477bd6f038313867f4b7b77c054181b06b1cfca479d5f9e2f15db6d1fa1f338	data/normalized_yaml/bacterial/medium_457_modified_for_dsm_11569.yaml	medium_457_modified_for_dsm_11569	ACTIVE			1
